Apple,Pomme,Mela,Apfel,Manzana,Píngguǒ
Banana,Banane,Banana,Banane,Plátano,Xiāngjiāo
Orange,Orange,Arancia,Orange,Naranja,Chéng
Grape,Raisin,Uva,Traube,Uva,Pútáo
Strawberry,Fraise,Fragola,Erdbeere,Fresa,Cǎoméi
Watermelon,Pastèque,Anguria,Wassermelone,Sandía,Xīguā
Pineapple,Ananas,Ananas,Ananas,Piña,Bōluó
Peach,Pêche,Pesca,Pfirsich,Melocotón,Táo
Pear,Poire,Pera,Birne,Pera,Lí
Cherry,Cerise,Ciliegia,Kirsche,Cereza,Yīngtáo
Mango,Mangue,Mango,Mango,Mango,Mángguǒ
Lemon,Citron,Limone,Zitrone,Limón,Níngméng
Lime,Citron vert,Lime,Limette,Lima,Qīngníng
Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Qíyì guǒ
Tomato,Tomate,Pomodoro,Tomate,Tomate,Fānqié
Cucumber,Concombre,Cetriolo,Gurke,Pepino,Huángguā
Carrot,Carotte,Carota,Karotte,Zanahoria,Húluóbo
Broccoli,Brocoli,Broccoli,Brokkoli,Brócoli,Xīlánhuā
Lettuce,Laitue,Lattuga,Salat,Lechuga,Shēngcài
Potato,Pomme de terre,Patata,Kartoffel,Patata,Tǔdòu
Sweet Potato,Patate douce,Patata dolce,Süßkartoffel,Batata,Hóngshǔ
Onion,Oignon,Cipolla,Zwiebel,Cebolla,Yángcōng
Garlic,Ail,Aglio,Knoblauch,Ajo,Suàn
Bell Pepper,Poivron,Peperone,Paprika,Pimiento,Tiánjiāo
Mushroom,Champignon,Fungo,Pilz,Champiñón,Mógū
Spinach,Épinard,Spinaci,Spinat,Espinaca,Bōcài
Celery,Céleri,Sedano,Sellerie,Apio,Qíncài
Eggplant,Aubergine,Melanzana,Aubergine,Berenjena,Qiézi
Zucchini,Courgette,Zucchina,Zucchini,Calabacín,Xīhúlu
Corn,Maïs,Mais,Mais,Maíz,Yùmǐ
Green Beans,Haricots verts,Fagiolini,Grüne Bohnen,Judías verdes,Dòujiǎo
Peas,Pois,Piselli,Erbsen,Guisantes,Wāndòu
Cabbage,Chou,Cavolo,Kohl,Repollo,Júhuā
Cauliflower,Chou-fleur,Cavolfiore,Blumenkohl,Coliflor,Huācài
Kale,Chou frisé,Cavolo riccio,Grünkohl,Col rizada,Gānlán
Asparagus,Asperge,Asparago,Spargel,Espárrago,Lúsǔn
Avocado,Avocat,Avocado,Avocado,Aguacate,Nióu yóu guǒ
Pumpkin,Citrouille,Zucca,Kürbis,Calabaza,Nánguā
Olive,Olive,Oliva,Olive,Aceituna,Gǎnlǎn
Beans,Haricots,Fagioli,Bohnen,Frijoles,Dòu
Rice,Riz,Riso,Reis,Arroz,Mǐfàn
Pasta,Pâtes,Pasta,Nudeln,Pasta,Miàntiáo
Bread,Pain,Pane,Brot,Pan,Miànbāo
Butter,Beurre,Burro,Butter,Mantequilla,Huángyóu
Cheese,Fromage,Formaggio,Käse,Queso,Nǎilào
Yogurt,Yaourt,Yogurt,Joghurt,Yogur,Suānnǎi
Milk,Lait,Latte,Milch,Leche,Niúnǎi
Egg,Œuf,Uovo,Ei,Huevo,Jīdàn
Chicken (meat),Poulet,Pollo,Hähnchen,Pollo,Jīròu
Beef,Bœuf,Manzo,Rindfleisch,Carne de res,Niúròu
Pork,Porc,Maiale,Schweinefleisch,Cerdo,Zhūròu
Lamb,Agneau,Agnello,Lamm,Cordero,Yángròu
Fish (meat),Poisson,Pesce,Fisch,Pescado,Yúròu
Shrimp,Crevette,Gamberetto,Garnele,Camarón,Xiā
Crab (meat),Crabe,Granchio,Krabbenfleisch,Cangrejo,Xiè
Lobster (meat),Homard,Aragosta,Hummerfleisch,Langosta,Lóngxiāròu
Clam,Palourde,Vongola,Muschel,Almeja,Gě
Scallop,Coquille Saint-Jacques,Capesanta,Jakobsmuschel,Vieira,Gānhòu
Oyster,Huître,Ostrica,Auster,Ostra,Mǔlì
Squid,Calmar,Calamaro,Tintenfisch,Calamar,Yóuyú
Mussel,Moule,Cozza,Miesmuschel,Mejillón,Qīngkǒng
Tofu,Tofu,Tofu,Tofu,Tofu,Dòufu
Soy Sauce,Sauce soja,Salsa di soia,Sojasoße,Salsa de soja,Jiàngyóu
Vinegar,Vinaigre,Aceto,Essig,Vinagre,Cù
Sugar,Sucre,Zucchero,Zucker,Azúcar,Táng
Salt,Sel,Sale,Salz,Sal,Yán
Pepper (spice),Poivre,Pepe,Pfeffer,Pimienta,Hújiāo
Honey,Miel,Miele,Honig,Miel,Fēngmì
Chocolate,Chocolat,Cioccolato,Schokolade,Chocolate,Qiǎokèlì
Ice Cream,Crème glacée,Gelato,Eis,Helado,Bīngqílín
Cake,Gâteau,Torta,Kuchen,Pastel,Dàngāo