Accountant,Comptable,Contabile,Buchhalter,Contador,Kuàijìshī
Actor,Acteur,Attore,Schauspieler,Actor,Yǎnyuán
Architect,Architecte,Architetto,Architekt,Arquitecto,Jiànzhùshī
Artist,Artiste,Artista,Künstler,Artista,Yìshùjiā
Baker,Boulanger,Fornaio,Bäcker,Panadero,Miànbāoshī
Barber,Barbier,Barbiere,Friseur,Barbero,Lǐfàshī
Bartender,Barman,Barista,Barkeeper,Barman,Jiǔbā yīng
Chef,Chef,Chef,Koch,Chef,Chúshī
Dentist,Dentiste,Dentista,Zahnarzt,Dentista,Yáchǐ yīshēng
Doctor,Médecin,Medico,Arzt,Médico,Yīshēng
Driver,Chauffeur,Autista,Fahrer,Conductor,Sījī
Electrician,Électricien,Elettricista,Elektriker,Electricista,Diàn gōng
Engineer,Ingénieur,Ingegnere,Ingenieur,Ingeniero,Gōngchéngshī
Farmer,Agriculteur,Agricoltore,Bauer,Agricultor,Nóngmín
Firefighter,Pompier,Pompiere,Feuerwehrmann,Bombero,Xiāofángyuán
Fisherman,Pêcheur,Pescatore,Fischer,Pescador,Yúfū
Florist,Fleuriste,Fioraio,Florist,Florista,Huādiànzhǔ
Gardener,Jardinier,Giardiniere,Gärtner,Jardinero,Yuányīshī
Hairdresser,Coiffeur,Parrucchiere,Friseur,Peluquero,Lǐfàshī
Journalist,Journaliste,Giornalista,Journalist,Periodista,Jìzhě
Judge,Juge,Giudice,Richter,Juez,Fǎguān
Lawyer,Avocat,Avvocato,Anwalt,Abogado,Lǜshī
Librarian,Bibliothécaire,Bibliotecario,Bibliothekar,Bibliotecario,Túshūguǎn lǐyuán
Mechanic,Mécanicien,Meccanico,Mechaniker,Mecánico,Jīxiè gōng
Musician,Musicien,Musicista,Musiker,Músico,Yīnyuèjiā
Nurse,Infirmier,Infermiere,Krankenschwester,Enfermera,Hùshì
Pharmacist,Pharmacien,Farmacista,Apotheker,Farmacéutico,Yàojìshī
Photographer,Photographe,Fotografo,Fotograf,Fotógrafo,Shèyǐngshī
Pilot,Pilote,Pilota,Pilot,Piloto,Fēixíngyuán
Plumber,Plombier,Idraulico,Klempner,Fontanero,Shuǐguǎn gōng
Police Officer,Policier,Poliziotto,Polizist,Policía,Jǐngchá
Politician,Politicien,Politico,Politiker,Político,Zhèngzhì jiā
Professor,Professeur,Professore,Professor,Profesor,Jiàoshòu
Programmer,Programmeur,Programmatore,Programmierer,Programador,Biānyìyuán
Psychologist,Psychologue,Psicologo,Psychologe,Psicólogo,Xīnlǐ xuéjiā
Receptionist,Réceptionniste,Receptionist,Rezeptionist,Recepcionista,Jiēdài yuán
Scientist,Scientifique,Scienziato,Wissenschaftler,Científico,Kēxué jiā
Secretary,Secrétaire,Segretario,Sekretär,Secretario,Mìshū
Singer,Chanteur,Cantante,Sänger,Cantante,Gēshǒu
Soldier,Soldat,Soldato,Soldat,Soldado,Jūnrén
Student,Étudiant,Studente,Student,Estudiante,Xuéshēng
Teacher,Enseignant,Insegnante,Lehrer,Maestro,Lǎoshī
Translator,Traducteur,Traduttore,Übersetzer,Traductor,Fānyì
Veterinarian,Vétérinaire,Veterinario,Tierarzt,Veterinario,Shòuyī
Waiter,Serveur,Cameriere,Kellner,Camarero,Fúwùyuán
Writer,Écrivain,Scrittore,Schriftsteller,Escritor,Zuòjiā
Anthropologist,Anthropologue,Antropologo,Anthropologe,Antropólogo,Rénlèixué jiā
Astronomer,Astronome,Astronomo,Astronom,Astrónomo,Tiānwén xuéjiā
Biologist,Biologiste,Biologo,Biologe,Biólogo,Shēngwù xuéjiā
Carpenter,Charpentier,Carpentiere,Zimmermann,Carpintero,Mùjiàng
Chemist,Chimiste,Chimico,Chemiker,Químico,Huàxué jiā
Dancer,Danseur,Ballerino,Tänzer,Bailarín,Wǔdǎo jiā
Economist,Économiste,Economista,Ökonom,Economista,Jīngjì xuéjiā
Editor,Éditeur,Editore,Redakteur,Editor,Biānjí
Environmentalist,Écologiste,Ecologista,Umweltaktivist,Ecologista,Huánbǎo zhǔyì zhě
Fashion Designer,Styliste,Stilista,Modedesigner,Diseñador de moda,Shízhuāng shèjì shī
Geologist,Géologue,Geologo,Geologe,Geólogo,Dìzhì xuéjiā
Graphic Designer,Graphiste,Grafico,Grafikdesigner,Diseñador gráfico,Shìhuì shèjì shī
Historian,Historien,Storico,Historiker,Historiador,Lìshǐ xuéjiā
Interpreter,Interprète,Interprete,Dolmetscher,Intérprete,Kǒuyì
Jeweler,Bijoutier,Gioielliere,Juwelier,Joyero,Zhūbǎo shāng
Locksmith,Serrurier,Fabbro,Schlosser,Cerrajero,Suǒjiàng
Marine Biologist,Biologiste marin,Biologo marino,Meeresbiologe,Biólogo marino,Hǎiyáng shēngwù xuéjiā
Mathematician,Mathématicien,Matematico,Mathematiker,Matemático,Shùxué jiā
Meteorologist,Météorologue,Meteorologo,Meteorologe,Meteorólogo,Qìxiàng xuéjiā
Microbiologist,Microbiologiste,Microbiologo,Mikrobiologe,Microbiólogo,Wéishēngwù xuéjiā
Music Producer,Producteur de musique,Produttore musicale,Musikproduzent,Productor musical,Yīnyuè zhìzuò rén
Optician,Opticien,Ottico,Optiker,Óptico,Yǎnjìng shī
Painter,Peintre,Pittore,Maler,Pintor,Huàjiā
Paramedic,Paramedic,Paramedico,Sanitäter,Paramédico,Jiùhù yuán
Philosopher,Philosophe,Filosofo,Philosoph,Filósofo,Zhéxué jiā
Physicist,Physicien,Fisico,Physiker,Físico,Wùlǐ xuéjiā